artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Soccer Mommy,Collection,Try,1E2pCJo8kbB2og7YYiJMWx,0.735,0.582,9,-8.217,1,0.0286,8.75e-05,0.0993,0.767,112.018,179000,4
No Vacation,Mind Fields,Mind Fields,5eZrjqnDP7bbcea1ckPDT4,0.443,0.706,0,-6.754,1,0.0302,0.937,0.106,0.252,128.331,272626,4
Soko,Sweet Sound of Ignorance,Sweet Sound of Ignorance,4MBuWtpcWNc75lgjUeMl9w,0.635,0.48,6,-6.169,0,0.029,8.53e-05,0.09,0.318,123.916,262517,4
Camp Howard,Juice EP,I Will,5HfDz0ETXCCc5joJTEffhr,0.393,0.576,1,-8.05,1,0.0372,0.0145,0.102,0.189,159.966,162387,4
No Vacation,Yam Yam,Yam Yam,1j56M8iOGH48yuKqj64qGK,0.445,0.591,7,-9.004,0,0.0316,0.766,0.107,0.0774,137.864,216038,4
Crumb,Plants,Plants,4KDVWd4zUHrfJHyuOuvLJP,0.494,0.406,11,-10.725,0,0.0416,0.53,0.122,0.219,81.067,191904,4
Brad stank,Daddy Blue / O.T.D.,O.T.D.,21zxICKVL4rSwgZNuxk9af,0.79,0.121,3,-14.477,1,0.0346,0.725,0.131,0.161,121.954,228237,4
spookyghostboy,Losing,So Low,6A7DMR9WkH0fcoygs6TteU,0.563,0.507,2,-8.083,1,0.0257,0.178,0.0804,0.367,143.741,200617,4
Triathalon,Cold Shower,South Side,6wbDqobV3CSsfX8jKB9KrF,0.438,0.373,9,-9.592,1,0.0431,0.194,0.122,0.322,130.927,190106,4
Her's,Songs of Her's,Cool with You,5wv2XK6ms7KBBVDD1cOwlx,0.534,0.62,0,-6.775,1,0.0504,0.000736,0.296,0.547,106.986,375656,4
Yung Heazy,Cuz You're My Girl,Cuz You're My Girl,1zrbRA9ADsXFHRt0GSJnJq,0.413,0.299,1,-11.271,0,0.0445,2.2e-06,0.187,0.549,82.46,247137,4
Katzù Oso,Give It Up to You,Give It Up to You,1F8pZXeC1TPOX0NOPVm3kR,0.509,0.344,5,-13.584,1,0.0303,0.00406,0.0398,0.856,169.927,216163,4
